年份,最低分,最高分
2017,566,612
2017,509,554
2016,750,750
2016,750,750
2015,519,750
2014,750,750
2014,750,750
2014,750,750
2014,750,750
2013,510,619
2013,415,544
2013,184,456
2012,522,631
2012,466,547
2012,195,480
2011,504,605
2011,452,521
2011,202,463
2010,435,517
2009,575,588
2009,512,566
2008,501,575
