年份,最低分,最高分
2020,624,662
2020,625,645
2020,614,634
2018,586,638
2018,578,604
2018,573,605
2017,750,750
2016,583,636
2016,750,750
2016,750,750
2015,750,750
2015,499,750
2014,591,750
2014,750,750
2014,750,750
2014,750,750
2013,504,595
2013,427,544
2013,337,541
2013,170,452
2012,525,632
2012,468,594
2012,371,561
2012,260,489
2012,190,414
2011,582,644
2011,522,614
2011,420,567
2011,270,545
2011,202,518
2010,238,602
2010,444,565
2010,750,750
2010,750,625
2009,671,775
2008,572,657
2008,517,582
2008,451,554
