日期,气温,白昼,天气,白昼,天气,风向
07月06日(星期二) ,30℃~22℃,白天,多云,夜间,多云,东风
07月07日(今天) ,23℃~33℃,白天,多云,夜间,多云,南风
07月08日(星期四) ,22℃~33℃,白天,小雨,夜间,雨,东北风
07月09日(星期五) ,23℃~33℃,白天,多云,夜间,晴,南风
07月10日(星期六) ,24℃~33℃,白天,晴,夜间,阴,南风
07月11日(星期日) ,24℃~34℃,白天,多云,夜间,雨,东风
07月12日(星期一) ,23℃~27℃,白天,小雨,夜间,阴,东风
07月13日(星期二) ,24℃~32℃,白天,多云,夜间,雨,东北风
07月14日(星期三) ,26℃~34℃,白天,小雨,夜间,雨,南风
07月15日(星期四) ,24℃~32℃,白天,阴,夜间,阴,东南风
07月16日(星期五) ,22℃~33℃,白天,小雨,夜间,雨,东北风
07月17日(星期六) ,21℃~33℃,白天,阴,夜间,阴,东风
07月18日(星期日) ,21℃~25℃,白天,阴,夜间,阴,东北风
07月19日(星期一) ,22℃~31℃,白天,多云,夜间,晴,东风
07月20日(星期二) ,23℃~32℃,白天,多云,夜间,晴,东风
